Thumbnail,Folder Link,Material Name,basecolor,normal,ambientOcclusion,height,roughness,metallic,opacity
https://drive.google.com/uc?export=view&id=1GACYvQZ_AqzjQe_39yrfGims81ESjV4Z,https://drive.google.com/drive/folders/1qi0jrA3rvekomgNMovY4d5hZy_VaL7UH,Stylized_Stone_Floor_006,https://drive.google.com/uc?export=view&id=1LPwYsTEqAIVu1I8YGdcqspmVGicAZa0g,https://drive.google.com/uc?export=view&id=1V2yDRH7UOq98Ynk1zuvsQj-EsKvny4qW,https://drive.google.com/uc?export=view&id=1Vetg2Pl7sKo7dk1G13ftX6qDwWV9TfqP,https://drive.google.com/uc?export=view&id=1xEfL-LsrjDp2dyhXO6LWSZeFye1dYWyt,https://drive.google.com/uc?export=view&id=1eABpVotvr1NDeJRSeLcmKkMklFeCldNZ,,
https://drive.google.com/uc?export=view&id=1ihk8O5ZfZ53QLKVokcrvVZbfue5QRycy,https://drive.google.com/drive/folders/11iN3ZyVnMMYOXxmDekzduMnGNaBkuJOe,Stylized_Coins_001,https://drive.google.com/uc?export=view&id=1Com3q-ykik1hcqfSwjdv9Zi3NQ6FRb-F,https://drive.google.com/uc?export=view&id=1c55wUmBzAfWzWnf_cuiro1TfxYvb5tXR,https://drive.google.com/uc?export=view&id=1O2KQAZ5oyfGR36lepHmTfJL5gcXC3qAd,https://drive.google.com/uc?export=view&id=1GdaMTpAeVyoUssOkgfeIBGADAhLzTdsz,https://drive.google.com/uc?export=view&id=1hS5Nr1TVyt9eMPKG96-Zs1CD2kpSuEGD,https://drive.google.com/uc?export=view&id=1tmdwC0LpZYUGreGp2W2t7TYXccleXu2e,
https://drive.google.com/uc?export=view&id=1vqUxJJ7zipT3Bc_d-upSbA6QyECzPYH2,https://drive.google.com/drive/folders/1qgFtHobpIcMPwUhu6jZb23WHhX_JUxLF,Stylized_Metal_Plates_001,https://drive.google.com/uc?export=view&id=1KC7pLAkvs8CEHhsC1rNQ_3w0P2rn3m6V,https://drive.google.com/uc?export=view&id=1B5TgSuxYm9mlw0YqX4D12W7zQ9jbOawX,https://drive.google.com/uc?export=view&id=1rsuGd--w69rk6O53MU_v72q9ptTiTlq1,https://drive.google.com/uc?export=view&id=1L32Irrrt4X1q88fbwgJmrUsRaKpkCMuu,https://drive.google.com/uc?export=view&id=1QSQjMSQHhclGQBGLhmQTL123zk0JxoL7,https://drive.google.com/uc?export=view&id=1NzCZILyziIr2nzZsHRNg6D5m3-EbIvxy,https://drive.google.com/uc?export=view&id=1eORtMiJKLF1wz3RYPwQPsvLogkbdIgKF
https://drive.google.com/uc?export=view&id=17eNGHOAIZkR7Fp2HAxiqCPz6MRsPOqeV,https://drive.google.com/drive/folders/1HHfebswlthNmqaFEbHkxCasWhn3Au6QT,Stylized_Ice_001,https://drive.google.com/uc?export=view&id=1OrCqo0RcXNZHXazo-6dJYs2g5unRpDFe,https://drive.google.com/uc?export=view&id=1oxyOgf4emM9icG1gQILAQ8lz-VQUWxJa,https://drive.google.com/uc?export=view&id=1tOnaS8STwaSo1GeWL-TszoIbEOX9JFWS,https://drive.google.com/uc?export=view&id=17pKF3EAWhLqT_V4O7ntnpKrEM4U-aPAY,https://drive.google.com/uc?export=view&id=1AT8Lwuzuu2qY8kdvgTcUEf88ysmXY8Ba,,
https://drive.google.com/uc?export=view&id=1wYbDfiFZmm4syI43Eot6BUtD6b7F6lql,https://drive.google.com/drive/folders/1WQTWawbGuN0Cynm0z-77ki9oWT3L2MsB,Stylized_Wood_Planks_002,https://drive.google.com/uc?export=view&id=1V2i9qqM7jRp2hoYBdG7p2Xm78G9Gnbi0,https://drive.google.com/uc?export=view&id=16hRWjRroMjw0uFUkWq_1iOJ2_-X9OUfa,https://drive.google.com/uc?export=view&id=1dJ0zi9T55KS2lWNeSSdlhBT8RcxEj5ud,https://drive.google.com/uc?export=view&id=1yfUkkMmsBICe8TWf57dYNP1mEKeMe6ZD,https://drive.google.com/uc?export=view&id=1K_tzAoSb8GXAxEDrfB85iyDrzBKDZ-JC,,
https://drive.google.com/uc?export=view&id=1jgDEjbdNIFWc_yVX3_T1mJ7uGnioMtlJ,https://drive.google.com/drive/folders/1UnYbeitmUE8tYQYi9X08FUAz8vw0H9iJ,Stylized_Roof_Tiles_002,https://drive.google.com/uc?export=view&id=1ndjvgHaugjAGXF2KRua7__lgQro2uidz,https://drive.google.com/uc?export=view&id=1dhODD_DwZhNhvHJeEPkrtVIlrwhHD3Wq,https://drive.google.com/uc?export=view&id=1xxMJME1uJKJ1uW6N57oaYW-VOFiSTMSE,https://drive.google.com/uc?export=view&id=1bZbUPeGx7H6b0n8dIgE2JRTeOqnczVGk,https://drive.google.com/uc?export=view&id=1LnwrgZlrprS4LQRm5Gj5C6hi9UdpMjuc,,
https://drive.google.com/uc?export=view&id=13_d8vNmk3GfiDLdg4W9s-bIRl8m4YoEG,https://drive.google.com/drive/folders/1coxPDsMPPg_0brz6IeTo6RD77nB3zLsf,Stylized_Rocks_003,https://drive.google.com/uc?export=view&id=1F0i7Igd7UIICddFMg9LCUMV6vAE1VJ1d,https://drive.google.com/uc?export=view&id=1VxZmh7XWb7FRYZELh9nwTdBQQZfWaoBT,https://drive.google.com/uc?export=view&id=1mJqfX7kDa3H2dbnTZC7KCguc_uLejGr2,https://drive.google.com/uc?export=view&id=1I84Yxva5bWiU8gHgn4-yNsFJzLZXABgb,https://drive.google.com/uc?export=view&id=1vmSdet87amqcKI27D7U_eHl9yzT1oCDf,,
https://drive.google.com/uc?export=view&id=1H_CDtoRn4dcPXwWxulKqDAV6N707OxAA,https://drive.google.com/drive/folders/19hdgYptz7ScrbzAkiLI3dGY9z0XgBRRF,Stylized_Stone_Floor_008,https://drive.google.com/uc?export=view&id=181kONqipQuOxj1QsTLxj-Lq-2dAbAWJD,https://drive.google.com/uc?export=view&id=1K78ikIKkYrtL372peTCBd0MSb77yn8Gp,https://drive.google.com/uc?export=view&id=1cg8kvZhYKhajkbLjhUYZ0hM7gM2oPUWA,https://drive.google.com/uc?export=view&id=1GW0wVy5iLScbj-lKiAx5roClwgGaRfpy,https://drive.google.com/uc?export=view&id=1oCaLxCfqXhnZOIqZs7K68D6ak81LNQ0y,,
https://drive.google.com/uc?export=view&id=1x-RsifXTkKsfSKfmu56e8P2QrtC1wDV1,https://drive.google.com/drive/folders/1Vb6J6JLVIQ6zVV4POsFu-N7oW-fKnykW,Stylized_Metal_Pattern_001,https://drive.google.com/uc?export=view&id=1ATxwk3kkQrIVzR_-P9LViqavzry5KUJU,https://drive.google.com/uc?export=view&id=1gvb_YMrbSjZKoFKUSybJUvARAbDnGCjz,https://drive.google.com/uc?export=view&id=1UDgYc3xdcB18cz_uslvgqNR_7Xxlgmwn,https://drive.google.com/uc?export=view&id=1IN2PUCuXeKAjnvH0uDZ6AEhVfDV29TCV,https://drive.google.com/uc?export=view&id=1AisA4olCMkd-SKmzOR-V80pZirBQLDOc,https://drive.google.com/uc?export=view&id=1OA-jXGqRKGMje-gn1ENCj3e5p36MZHpM,
https://drive.google.com/uc?export=view&id=1vyo33DcG3PfTfLDzinv97IxpzkpNSHxj,https://drive.google.com/drive/folders/1H_Sauyu2U75QOybvEGAsgmHdMTe7RWs1,Stylized_Roof_Tiles_001,https://drive.google.com/uc?export=view&id=1aR6dtUMBNXS4ks7SX3NYUqyruZ8cY5pc,https://drive.google.com/uc?export=view&id=1TDz_7KO70Fh7DoUtzbwG7NN5aPlRmNdA,https://drive.google.com/uc?export=view&id=1y8lIWk0yzrfxtdMYcmTU2OPXcZbfwJ8S,https://drive.google.com/uc?export=view&id=17_dvuHEumJ1X2wao1oFem--c22kWX3oa,https://drive.google.com/uc?export=view&id=1qH0H3M0mRelaThNN7jyTMPWRutx17rOc,,
